epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4452.54,0.48868,0.36171,0.92267,0.60575,0.68962,0.7103,0.63163,0.47119,0.83467,0.94399,0.004258,0.004258,0.004258
60,4528.13,0.48373,0.35485,0.92197,0.67298,0.6135,0.71214,0.63516,0.46697,0.82924,0.93832,0.004159,0.004159,0.004159
61,4603.33,0.48098,0.35375,0.91996,0.76739,0.56334,0.71543,0.64062,0.46445,0.82274,0.93382,0.00406,0.00406,0.00406
62,4678.55,0.47825,0.3471,0.91962,0.75077,0.57389,0.71896,0.64065,0.46394,0.81998,0.93166,0.003961,0.003961,0.003961
63,4753.72,0.47697,0.34586,0.91991,0.74625,0.57973,0.71426,0.63746,0.46132,0.83242,0.93142,0.003862,0.003862,0.003862
64,4828.68,0.47147,0.34129,0.91731,0.69974,0.62334,0.70462,0.62477,0.4607,0.83578,0.93183,0.003763,0.003763,0.003763
65,4904.05,0.46662,0.33768,0.91628,0.70881,0.61118,0.70049,0.62119,0.46416,0.83355,0.93682,0.003664,0.003664,0.003664
66,4979.06,0.46616,0.33676,0.91538,0.66951,0.62695,0.70188,0.62507,0.46525,0.834,0.93961,0.003565,0.003565,0.003565
67,5054.17,0.45499,0.3287,0.9126,0.66071,0.63853,0.70318,0.6237,0.46594,0.83186,0.94182,0.003466,0.003466,0.003466
68,5129.43,0.45292,0.32187,0.91223,0.7109,0.60929,0.70134,0.6218,0.46753,0.84267,0.94335,0.003367,0.003367,0.003367
69,5204.56,0.45107,0.32404,0.91151,0.78261,0.57099,0.70251,0.62231,0.47183,0.84838,0.94785,0.003268,0.003268,0.003268
70,5280.1,0.44533,0.32075,0.91049,0.6459,0.65505,0.70212,0.61931,0.46872,0.84713,0.94478,0.003169,0.003169,0.003169
71,5355.26,0.44148,0.31574,0.90929,0.71466,0.61749,0.7033,0.62062,0.46963,0.83978,0.94497,0.00307,0.00307,0.00307
72,5430.86,0.43812,0.30895,0.90719,0.72139,0.60198,0.70357,0.62143,0.46987,0.83733,0.94341,0.002971,0.002971,0.002971
73,5506.14,0.43257,0.30669,0.90592,0.72315,0.60172,0.69835,0.61551,0.47077,0.83756,0.94284,0.002872,0.002872,0.002872
74,5581.35,0.42792,0.30397,0.90532,0.72487,0.59943,0.69698,0.61565,0.47076,0.83908,0.94209,0.002773,0.002773,0.002773
75,5656.84,0.42461,0.30067,0.90465,0.67377,0.61873,0.6894,0.61177,0.47184,0.83769,0.94334,0.002674,0.002674,0.002674
76,5731.87,0.42126,0.29591,0.90347,0.6742,0.61645,0.68904,0.61134,0.47119,0.83795,0.94263,0.002575,0.002575,0.002575
77,5807.41,0.41394,0.29232,0.90168,0.67711,0.61544,0.68984,0.61266,0.47354,0.84397,0.94506,0.002476,0.002476,0.002476
78,5882.69,0.41168,0.2897,0.90042,0.70814,0.60674,0.68867,0.61241,0.473,0.84462,0.94568,0.002377,0.002377,0.002377
79,5957.79,0.40832,0.28775,0.89938,0.75823,0.57481,0.69009,0.61379,0.47517,0.84923,0.95012,0.002278,0.002278,0.002278
80,6033.14,0.40483,0.28443,0.89844,0.75303,0.57764,0.69036,0.61395,0.47435,0.85144,0.95034,0.002179,0.002179,0.002179
81,6108.18,0.40225,0.28114,0.89756,0.70895,0.59874,0.68882,0.61234,0.47376,0.85755,0.95052,0.00208,0.00208,0.00208
82,6183.7,0.39782,0.27704,0.89769,0.66011,0.61628,0.68988,0.61358,0.47249,0.85921,0.9494,0.001981,0.001981,0.001981
83,6258.95,0.39304,0.27307,0.89558,0.64143,0.64474,0.69024,0.61362,0.47222,0.86036,0.95121,0.001882,0.001882,0.001882
84,6334.33,0.38891,0.26795,0.89341,0.6189,0.64777,0.69068,0.61424,0.47193,0.86313,0.95187,0.001783,0.001783,0.001783
85,6409.74,0.3843,0.26763,0.89357,0.61332,0.64098,0.68904,0.61311,0.47235,0.86714,0.9525,0.001684,0.001684,0.001684
86,6484.99,0.38023,0.26311,0.89249,0.60664,0.64388,0.69272,0.61663,0.47261,0.86924,0.95331,0.001585,0.001585,0.001585
87,6560.37,0.37892,0.26134,0.89235,0.61761,0.64128,0.68746,0.61177,0.47304,0.86944,0.95301,0.001486,0.001486,0.001486
88,6635.64,0.37331,0.25898,0.89117,0.61749,0.64137,0.68677,0.6111,0.47402,0.87075,0.95396,0.001387,0.001387,0.001387
89,6710.78,0.36935,0.25382,0.88972,0.61636,0.63895,0.68667,0.61054,0.47621,0.87242,0.95701,0.001288,0.001288,0.001288
90,6786.2,0.36753,0.25338,0.8884,0.6175,0.63649,0.68662,0.6105,0.47487,0.8699,0.95699,0.001189,0.001189,0.001189
91,6902.45,0.27398,0.16583,0.8302,0.61788,0.63351,0.6845,0.60875,0.47424,0.87245,0.95734,0.00109,0.00109,0.00109
92,6978.01,0.26346,0.15857,0.82802,0.62085,0.62798,0.68254,0.6071,0.47489,0.87425,0.95862,0.000991,0.000991,0.000991
93,7053.17,0.25674,0.15425,0.82503,0.62219,0.62553,0.68389,0.60793,0.47508,0.87503,0.9596,0.000892,0.000892,0.000892
94,7128.8,0.24991,0.14958,0.82504,0.62206,0.62357,0.68153,0.60605,0.47551,0.8785,0.96029,0.000793,0.000793,0.000793
95,7204.14,0.24676,0.14861,0.82394,0.60544,0.64659,0.68165,0.60594,0.47439,0.87875,0.95984,0.000694,0.000694,0.000694
96,7279.27,0.23906,0.14443,0.82319,0.60553,0.64587,0.68193,0.60641,0.4742,0.88441,0.95994,0.000595,0.000595,0.000595
97,7354.72,0.23433,0.14143,0.82192,0.60492,0.64904,0.68107,0.60566,0.4742,0.88321,0.96091,0.000496,0.000496,0.000496
98,7429.71,0.22911,0.13821,0.81985,0.60415,0.6481,0.68079,0.60535,0.47411,0.88452,0.96141,0.000397,0.000397,0.000397
99,7505.25,0.22607,0.13695,0.82002,0.60506,0.64373,0.68014,0.60508,0.47444,0.88664,0.96232,0.000298,0.000298,0.000298
100,7580.31,0.222,0.13394,0.81769,0.60664,0.64066,0.67811,0.60363,0.47406,0.88825,0.96276,0.000199,0.000199,0.000199
